trip_uuid,source_center,destination_center,route_type,trip_creation_time,od_start_time,od_end_time,actual_time,osrm_time,osrm_distance,actual_distance_to_destination,data
trip-153671494219272400,IND431603AAA,IND431708AAA,FTL,2018-09-12 01:15:42.192953,2018-09-12 01:15:42.192953,2018-09-12 03:18:35.096279,53.0,23.0,32.41,29.665491805278933,training
trip-153671494219272400,IND431708AAA,IND431514AAA,FTL,2018-09-12 01:15:42.192953,2018-09-12 03:18:35.096279,2018-09-12 04:33:40.913857,61.0,29.0,41.3849,38.29253307663375,training
trip-153671505195307510,IND713205AAB,IND722202AAA,Carting,2018-09-12 01:17:31.953356,2018-09-12 01:17:31.953356,2018-09-12 04:31:37.349917,153.0,19.0,17.7572,14.077961928134677,training
trip-153671505195307510,IND722101AAA,IND722122AAA,Carting,2018-09-12 01:17:31.953356,2018-09-12 06:08:02.324036,2018-09-12 07:03:26.225121,55.0,25.0,34.3239,28.993692897307763,training
trip-153671505195307510,IND722202AAA,IND722101AAC,Carting,2018-09-12 01:17:31.953356,2018-09-12 04:31:37.349917,2018-09-12 05:27:16.291697,45.0,29.0,32.7615,28.97500701225908,training
trip-153671506098357680,IND396191AAC,IND396232AAA,Carting,2018-09-12 01:17:40.984026,2018-09-12 01:17:40.984026,2018-09-12 02:33:00.903517,36.0,13.0,15.0686,14.264672626924416,training
trip-153671508851597828,IND360530AAB,IND362001AAA,Carting,2018-09-12 01:18:08.516276,2018-09-12 06:04:58.698852,2018-09-12 12:27:14.310000,362.0,69.0,79.2651,58.20583569565584,training
trip-153671508851597828,IND360575AAA,IND360510AAB,Carting,2018-09-12 01:18:08.516276,2018-09-12 03:43:56.169739,2018-09-12 05:07:32.951724,79.0,40.0,43.6602,36.14796709171063,training
trip-153671508851597828,IND362001AAA,IND360575AAA,Carting,2018-09-12 01:18:08.516276,2018-09-12 01:18:08.516276,2018-09-12 03:43:56.169739,112.0,83.0,102.8477,84.7261874766737,training
trip-153671531316758155,IND360370AAA,IND360410AAA,FTL,2018-09-12 01:21:53.167913,2018-09-12 02:35:30.220627,2018-09-12 03:12:30.490441,32.0,13.0,16.2596,15.679869604610314,training
trip-153671531316758155,IND360410AAA,IND360490AAA,FTL,2018-09-12 01:21:53.167913,2018-09-12 03:12:30.490441,2018-09-12 03:58:06.664935,40.0,13.0,16.9369,15.181661149382302,training
trip-153671531316758155,IND362001AAA,IND360370AAA,FTL,2018-09-12 01:21:53.167913,2018-09-12 01:21:53.167913,2018-09-12 02:35:30.220627,48.0,23.0,32.945,30.76171863426291,training
trip-153671547254076660,IND501359AAE,IND508252AAB,FTL,2018-09-12 01:24:32.541032,2018-09-12 01:24:32.541032,2018-09-12 07:47:19.874410,84.0,46.0,66.4524,53.8372232506696,training
trip-153671547254076660,IND507002AAA,IND508213AAB,FTL,2018-09-12 01:24:32.541032,2018-09-12 20:40:11.422136,2018-09-13 00:33:53.614335,85.0,44.0,62.933,57.50975375046317,training
trip-153671547254076660,IND508001AAA,IND501359AAE,FTL,2018-09-12 01:24:32.541032,2018-09-13 02:19:09.504075,2018-09-13 07:19:49.327702,150.0,87.0,116.2636,93.77440187718793,training
trip-153671547254076660,IND508207AAB,IND521225AAB,FTL,2018-09-12 01:24:32.541032,2018-09-12 09:30:30.007296,2018-09-12 14:17:08.792671,280.0,117.0,154.8292,120.11703463568128,training
trip-153671547254076660,IND508213AAB,IND508001AAA,FTL,2018-09-12 01:24:32.541032,2018-09-13 00:33:53.614335,2018-09-13 02:19:09.504075,80.0,36.0,51.7261,38.92645032429481,training
trip-153671547254076660,IND508252AAB,IND508207AAB,FTL,2018-09-12 01:24:32.541032,2018-09-12 07:47:19.874410,2018-09-12 09:30:30.007296,102.0,82.0,109.1534,80.37016715327924,training
trip-153671547254076660,IND521225AAB,IND507002AAA,FTL,2018-09-12 01:24:32.541032,2018-09-12 14:17:08.792671,2018-09-12 20:40:11.422136,207.0,115.0,154.1224,98.51453481315616,training
